mean,lon,region,lat,system:index,sample_id
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000022,H283
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000023,H278
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000024,H291
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000025,H285
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000026,H284
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000041,H281
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000042,H282
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000043,H286
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000044,H275
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000045,H289
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000046,H290
0.1385376322235348,-83.06595320182905,detroit,42.304948650752614,00000000000000000047,H280
